hospital_id;year;type_activity;total
CH0096;2012;Estancia media global;5.72
CH0096;2013;Estancia media global;6.08
CH0096;2014;Estancia media global;6.03
CH0096;2015;Estancia media global;6.22
CH0096;2016;Estancia media global;6.16
CH0096;2017;Estancia media global;6.16
CH0096;2018;Estancia media global;6.27
CH0096;2019;Estancia media global;6.12
CH0096;2020;Estancia media global;7.02
CH0096;2021;Estancia media global;6.66
CH0096;2022;Estancia media global;6.19
CH0096;2012;Total ingresos;9968.0
CH0096;2013;Total ingresos;9844.0
CH0096;2014;Total ingresos;10124.0
CH0096;2015;Total ingresos;10228.0
CH0096;2016;Total ingresos;10778.0
CH0096;2017;Total ingresos;11108.0
CH0096;2018;Total ingresos;11367.0
CH0096;2019;Total ingresos;11471.0
CH0096;2020;Total ingresos;9620.0
CH0096;2021;Total ingresos;10155.0
CH0096;2022;Total ingresos;11258.0
CH0096;2012;Ingresos urgentes;7530.0
CH0096;2013;Ingresos urgentes;7182.0
CH0096;2014;Ingresos urgentes;7669.0
CH0096;2015;Ingresos urgentes;7771.0
CH0096;2016;Ingresos urgentes;8330.0
CH0096;2017;Ingresos urgentes;8613.0
CH0096;2018;Ingresos urgentes;8705.0
CH0096;2019;Ingresos urgentes;8770.0
CH0096;2020;Ingresos urgentes;7944.0
CH0096;2021;Ingresos urgentes;8173.0
CH0096;2022;Ingresos urgentes;8906.0
CH0096;2012;Ingresos programados;2438.0
CH0096;2013;Ingresos programados;2662.0
CH0096;2014;Ingresos programados;2455.0
CH0096;2015;Ingresos programados;2457.0
CH0096;2016;Ingresos programados;2448.0
CH0096;2017;Ingresos programados;2495.0
CH0096;2018;Ingresos programados;2662.0
CH0096;2019;Ingresos programados;2701.0
CH0096;2020;Ingresos programados;1676.0
CH0096;2021;Ingresos programados;1982.0
CH0096;2022;Ingresos programados;2352.0
CH0096;2012;Urgencias totales;75952.0
CH0096;2013;Urgencias totales;76323.0
CH0096;2014;Urgencias totales;77897.0
CH0096;2015;Urgencias totales;79879.0
